1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
4683,WA,Washington,06,H2WA06129,,Derek,Kilmer,"Kilmer, Derek",,D,"86,436",53.41%,,,"186,661",59.00%,,,,,W,,
4684,WA,Washington,06,H2WA06145,,Bill,Driscoll,"Driscoll, Bill",,R,"29,602",18.29%,,,"129,725",41.00%,,,,,,,
4685,WA,Washington,06,H0WA06065,,Jesse,Young,"Young, Jesse",,R,"18,075",11.17%,,,,,,,,,,,
4686,WA,Washington,06,H4WA06067,,Doug,Cloud,"Cloud, Doug",,R,"14,267",8.82%,,,,,,,,,,,
4687,WA,Washington,06,H2WA06137,,David (Ike),Eichner,"Eichner, David (Ike)",,R,"7,966",4.92%,,,,,,,,,,,
4688,WA,Washington,06,H2WA06152,,"Eric G., Jr.",Arentz,"Arentz, Eric G., Jr.",,IP,"4,101",2.53%,,,,,,,,,,,
4689,WA,Washington,06,H2WA10022,,Stephan Andrew,Brodhead,"Brodhead, Stephan Andrew",,R,"1,387",0.86%,,,,,,,,,,,
4690,WA,Washington,06,n/a,,,,,District Votes:,,"161,834",,,,"316,386",,,,,,,,
4691,WA,Washington,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,"*  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate."""  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associa"" Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the part""Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the ""ashington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominat""shington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the""hington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference doe""ington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candida""ngton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she p""gton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party""ton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a""on utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan off""n utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate fo"" utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each""utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the ""tilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  Accord""ilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliatio""lizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party a""izes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of""zes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regard""es a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election ""s a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general elec"" a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general ""a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gener"" "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gen"""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""op Two" primary election system in which the top two vote-getters in the primary election advance to""p Two" primary election system in which the top two vote-getters in the primary election adva"" Two" primary election system in which the top two vote-getters in the primary election""Two" primary election system in which the top two vote-getters in the primary elec""wo" primary election system in which the top two vote-getters in the primary e""o" primary election system in which the top two vote-getters in the primary""" primary election system in which the top two vote-getters in the primar"" primary election system in which the top two vote-getters in the primar",
4692,WA,Washington,07,H8WA07132,(I),Jim,McDermott,"McDermott, Jim",,D,"124,692",70.91%,,,"298,368",79.65%,,,,,W,,
4693,WA,Washington,07,H2WA07101 ,,Ron,Bemis,"Bemis, Ron",,R,"26,791",15.24%,,,"76,212",20.35%,,,,,,,
4694,WA,Washington,07,H2WA00049,,Andrew,Hughes,"Hughes, Andrew",,D,"10,340",5.88%,,,,,,,,,,,
4695,WA,Washington,07,H0WA07113,,Scott,Sutherland,"Sutherland, Scott",,GOP,"5,573",3.17%,,,,,,,,,,,
4696,WA,Washington,07,H2WA07093,,Charles,Allen,"Allen, Charles",,D,"4,367",2.48%,,,,,,,,,,,
4697,WA,Washington,07,H6WA07409,,Don,Rivers,"Rivers, Don",,D,"2,688",1.53%,,,,,,,,,,,
4698,WA,Washington,07,H8WA07181,,,Goodspaceguy,Goodspaceguy,,EWP,"1,387",0.79%,,,,,,,,,,,
4699,WA,Washington,07,n/a,,,,,District Votes:,,"175,838",,,,"374,580",,,,,,,,
4700,WA,Washington,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,"*  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate."""  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associa"" Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the part""Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the ""ashington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominat""shington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the""hington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference doe""ington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candida""ngton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she p""gton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party""ton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a""on utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan off""n utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate fo"" utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each""utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the ""tilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  Accord""ilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliatio""lizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party a""izes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of""zes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regard""es a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election ""s a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general elec"" a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general ""a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gener"" "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gen"""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""op Two" primary election system in which the top two vote-getters in the primary election advance to""p Two" primary election system in which the top two vote-getters in the primary election adva"" Two" primary election system in which the top two vote-getters in the primary election""Two" primary election system in which the top two vote-getters in the primary elec""wo" primary election system in which the top two vote-getters in the primary e""o" primary election system in which the top two vote-getters in the primary""" primary election system in which the top two vote-getters in the primar"" primary election system in which the top two vote-getters in the primar",
4701,WA,Washington,08,H4WA08071,(I),Dave,Reichert,"Reichert, Dave",,R,"66,220",50.62%,,,"180,204",59.65%,,,,,W,,
4702,WA,Washington,08,H2WA08158,,Karen,Porterfield,"Porterfield, Karen",,D,"37,083",28.35%,,,"121,886",40.35%,,,,,,,
4703,WA,Washington,08,H2WA08166,,Keith,Swank,"Swank, Keith",,R,"10,942",8.36%,,,,,,,,,,,
4704,WA,Washington,08,H8WA08080,,Keith,Arnold,"Arnold, Keith",,D,"7,144",5.46%,,,,,,,,,,,
4705,WA,Washington,08,H2WA08174,,James,Windle,"Windle, James",,NOP,"5,269",4.03%,,,,,,,,,,,
4706,WA,Washington,08,H0WA08061,,Ernest,Huber,"Huber, Ernest",,R,"4,165",3.18%,,,,,,,,,,,
4707,WA,Washington,08,n/a,,,,,District Votes:,,"130,823",,,,"302,090",,,,,,,,
4708,WA,Washington,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,"*  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate."""  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associa"" Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the part""Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the ""ashington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominat""shington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the""hington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference doe""ington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candida""ngton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she p""gton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party""ton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a""on utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan off""n utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate fo"" utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each""utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the ""tilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  Accord""ilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliatio""lizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party a""izes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of""zes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regard""es a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election ""s a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general elec"" a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general ""a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gener"" "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gen"""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""op Two" primary election system in which the top two vote-getters in the primary election advance to""p Two" primary election system in which the top two vote-getters in the primary election adva"" Two" primary election system in which the top two vote-getters in the primary election""Two" primary election system in which the top two vote-getters in the primary elec""wo" primary election system in which the top two vote-getters in the primary e""o" primary election system in which the top two vote-getters in the primary""" primary election system in which the top two vote-getters in the primar"" primary election system in which the top two vote-getters in the primar",
4709,WA,Washington,09,H6WA09025,(I),Adam,Smith,"Smith, Adam",,D,"72,868",61.16%,,,"192,034",71.62%,,,,,W,,
4710,WA,Washington,09,H8WA09047,,Jim,Postma,"Postma, Jim",,R,"27,616",23.18%,,,"76,105",28.38%,,,,,,,
4711,WA,Washington,09,H0WA08053,,Tom,Cramer,"Cramer, Tom",,D,"8,376",7.03%,,,,,,,,,,,
4712,WA,Washington,09,H8WA08098,,John,Orlinski,"Orlinski, John",,R,"6,624",5.56%,,,,,,,,,,,
4713,WA,Washington,09,H2WA09107,,Dave,Christie,"Christie, Dave",,FDR,"3,659",3.07%,,,,,,,,,,,
4714,WA,Washington,09,n/a,,,,,District Votes:,,"119,143",,,,"268,139",,,,,,,,
4715,WA,Washington,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,"*  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate."""  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associa"" Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the part""Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the ""ashington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominat""shington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the""hington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference doe""ington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candida""ngton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she p""gton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party""ton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a""on utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan off""n utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate fo"" utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each""utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the ""tilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  Accord""ilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliatio""lizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party a""izes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of""zes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regard""es a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election ""s a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general elec"" a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general ""a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gener"" "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gen"""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""op Two" primary election system in which the top two vote-getters in the primary election advance to""p Two" primary election system in which the top two vote-getters in the primary election adva"" Two" primary election system in which the top two vote-getters in the primary election""Two" primary election system in which the top two vote-getters in the primary elec""wo" primary election system in which the top two vote-getters in the primary e""o" primary election system in which the top two vote-getters in the primary""" primary election system in which the top two vote-getters in the primar"" primary election system in which the top two vote-getters in the primar",
4716,WA,Washington,10,H0WA03161,,Denny,Heck,"Heck, Denny",,D,"51,047",39.73%,,,"163,036",58.56%,,,,,W,,
4717,WA,Washington,10,H0WA09044,,Richard (Dick),Muri,"Muri, Richard (Dick)",,R,"36,173",28.15%,,,"115,381",41.44%,,,,,,,
4718,WA,Washington,10,H2WA10014,,Stan,Flemming,"Flemming, Stan",,R,"19,934",15.51%,,,,,,,,,,,
4719,WA,Washington,10,H2WA10048,,Jennifer,Ferguson,"Ferguson, Jennifer",,D,"14,026",10.92%,,,,,,,,,,,
4720,WA,Washington,10,H2WA10030,,Sue,Gunn,"Gunn, Sue",,PIN,"4,292",3.34%,,,,,,,,,,,
4721,WA,Washington,10,H2WA10055,,Steve,Hannon,"Hannon, Steve",,NOP,"3,025",2.35%,,,,,,,,,,,
4722,WA,Washington,10,n/a,,,,,District Votes:,,"128,497",,,,"278,417",,,,,,,,
4723,WA,Washington,,n/a,,,,,,,,,,,,,,,,,,,
4724,WA,Washington,H,n/a,,,,,Total State Votes:,,"1,536,462",,,,"3,364,001",,,,,,,"*  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associates with that candidate."""  Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the party approves of or associa"" Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the party, or that the part""Washington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominated or endorsed by the ""ashington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the candidate is nominat""shington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference does not imply that the""hington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candidate's preference doe""ington utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she prefers.  A candida""ngton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party that he or she p""gton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a political party""ton utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan office may state a""on utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate for partisan off""n utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each candidate fo"" utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the state, "Each""utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  According to the ""tilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.  Accord""ilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliatio""lizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party a""izes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of""zes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regard""es a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election ""s a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general elec"" a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general ""a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gener"" "Top Two" primary election system in which the top two vote-getters in the primary election advance to the gen"""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""Top Two" primary election system in which the top two vote-getters in the primary election advance to the ge""op Two" primary election system in which the top two vote-getters in the primary election advance to""p Two" primary election system in which the top two vote-getters in the primary election adva"" Two" primary election system in which the top two vote-getters in the primary election""Two" primary election system in which the top two vote-getters in the primary elec""wo" primary election system in which the top two vote-getters in the primary e""o" primary election system in which the top two vote-getters in the primary""" primary election system in which the top two vote-getters in the primar"" primary election system in which the top two vote-getters in the primar",
